132,romaine,"I would like to have my room oriented to the south, please. Do you have one?","Chtěl bych mít pokoj orientovaný na jih, prosím. Máte ho?",5
267,romaine,I am travelling abroad soon. Where can I find information or advice on health risks?,Brzy pojedu do zahraničí. Kde mohu získat informace nebo radu o zdravotních rizicích?,5
167,romaine,Please could you advise me to vaccination requirements for Thailand?,Mohl byste mi prosím poradit ohledně požadavků na očkování v Thajsku?,5
82,romaine,Where can I throw out construction waste?,Kde můžu vyhodit stavební odpad?,5
75,romaine,Who can I contact if I want to organize a charity event at the Town Hall?,"Na koho se mohu obrátit, když chci zorganizovat charitativní akci na radnici?",5
173,romaine,Do you offer T-shirts for women?,Nabízíte trička pro ženy?,5
31,blowing,"Is it possible to order other services such as wellness, dinner on the day of arrival?","Je možné objednat si další služby, jako je wellness, večeře v da",1
34,blowing,Can I pay for accommodation in advance?,Mohu si předem zaplatit ubytování?,5
114,blowing,What is the annual fee for a dog and where can I pay for it?,Jaký je roční poplatek za psa a kde ho mohu zaplatit?,5
36,blowing,Is it possible to buy a stay for another person later?,Je možné si později koupit pobyt pro další osobu?,5
137,blowing,This jacket is very important for me. I bought it 15 years ago and it is best part of my clothing. I will be very thankful if you find it.,"Ta bunda je pro mě velmi důležitá. Koupila jsem ho před 15 lety a je to nejlepší část mého oblečení. Budu velmi vděčný, pokud ji najdete.",4
361,blowing,We would like to order from you mixed menu for groups. We will pay in euros.,Chtěli bychom si od vás objednat smíšené menu pro skupiny. Zaplatíme v eurech.,5
220,legend,Why was not I able to make a mobile payment? Do I cancel my subscription?,Proč jsem nemohl provést mobilní platbu? Mám zrušit předplatné?,5
346,legend,What are the requirements if I want to get married abroad under the local jurisdiction?,"Jaké jsou požadavky, pokud se chci oženit v zahraničí pod místní jurisdikcí?",5
376,legend,Do students have to study a fixed set of subjects? Can they individually form their study plan?,Musí studenti studovat pevný soubor předmětů? Mohou si individuálně vytvořit svůj studijní plán?,5
141,legend,I am a teacher and I am planning a big trip for our school. We want to travel from Brno to Olomouc. Number of children and teachers is 150. Number of children and teachers will be 150. Do I need to order an extra railway carriage? We want to travel on the 20.4.2020 at 8:30 from Brno.,Jsem učitelka a plánuji pro naši školu velký výlet. Chceme cestovat z Brna do Olomouce. Počet dětí a učitelů je 150. Počet dětí a učitelů bude 150. Mám si objednat vagón navíc? Chceme vyjet 20.4.2020 v 8:30 z Brna.,5
105,legend,Book me 20 seats and chocolate birthday cake.,Zarezervuj mi 20 míst a čokoládový narozeninový dort.,5
327,legend,I would like to come to your office in person. What documents do I need to have with me if my ID card is expired?,"Rád bych přišel osobně do vaší kanceláře. Jaké doklady musím mít, když mi vyprší průkaz?",5
322,legend,How can I apply for a new Social Security number card or its replacement?,Jak mohu požádat o novou kartu sociálního zabezpečení nebo o její náhradu,5
53,legend,Please do not ring the bell when you are in front of the house. Call me on the cell phone.,"Prosím, nezvoňte na zvonek, když jste před domem. Zavolej mi na mobil.",5
79,quarter,Where can I get a new ID? Is it necessary to report the loss of my ID?,Kde seženu novou občanku? Je nutné nahlásit ztrátu mého průkazu totožnosti,5
389,quarter,My father is hospitalized in a closed psychiatric ward. Can you help him through the procedures with the hospital psychiatric committee?,Můj otec je hospitalizován na uzavřeném psychiatrickém oddělení. Můžete mu pomoci při zákrocích na psychiatrii?,5
462,quarter,"My driving licence expires soon, but I did not receive a renewal notice in the mail. What can I do?","Platnost mého řidičského průkazu brzy vyprší, ale neobdržel jsem v poště oznámení o obnovení. Co můžu dělat?",4
336,quarter,My child has been given a diagnosis but I would like a second is this something you offer?,"Mému dítěti byla stanovena diagnóza, ale chtěla bych vteřinku, je to něco, co nabízíte?",3
370,strain,Do online courses begin and end at different times than regular on-campus courses?,"Začínají a končí on-line kurzy v různém čase, než běžné na univerzitních kurzech?",4
328,strain,What languages are available at reception? Is it open 24 hours?,Jaké jazyky jsou na recepci k dispozici? Je otevřeno 24 hodin?,5
250,strain,"What kind of communication should I expect from the INTERPOLT, after I submit my request?","Jakou komunikaci mám očekávat od programu INTERPOLT, když svou žádost přednesu?",5
7,strain,"be careful, it's fragile. Pack it with care. Thank you.","Opatrně, je to křehké. Opatrně to zabalte. Děkuji.",4
209,strain,Is it possible to use the heat cost allocators on panel radiators?,Je možné použít příděly za teplo na panelové radiátory?,4
35,madrasa,I will not check-in until eight in the evening.,Zapíšu se až v osm večer.,4
481,madrasa,I applied for victim compensation and want to know the status of my claim. Can you assist me please?,Požádal jsem o odškodnění a chci znát stav svého nároku. Můžete mi asistovat?,4
371,madrasa,Are the museum curators available to provide expertise on artworks?,"Jsou kurátoři muzea k dispozici, aby poskytli odborné znalosti o uměleckých dílech?",5
317,madrasa,Could you send me a list of sleeping bags?,Můžete mi poslat seznam spacích pytlů?,5
